X,Y,RETICLE_SHOT,COL|ROW
42.554,-84.309,S-3_-3,C1R3
39.963,-84.309,S-3_-3,C1R4
37.372,-84.309,S-3_-3,C1R5
46.44,-80.309,S-3_-3,C2R2
42.554,-80.309,S-3_-3,C2R3
39.963,-80.309,S-3_-3,C2R4
37.372,-80.309,S-3_-3,C2R5
51.622,-76.309,S-3_-3,C3R1
46.44,-76.309,S-3_-3,C3R2
42.554,-76.309,S-3_-3,C3R3
39.963,-76.309,S-3_-3,C3R4
37.372,-76.309,S-3_-3,C3R5
56.804,-72.309,S-3_-3,C4R0
51.622,-72.309,S-3_-3,C4R1
46.44,-72.309,S-3_-3,C4R2
42.554,-72.309,S-3_-3,C4R3
39.963,-72.309,S-3_-3,C4R4
37.372,-72.309,S-3_-3,C4R5
56.804,-68.309,S-3_-3,C5R0
51.622,-68.309,S-3_-3,C5R1
46.44,-68.309,S-3_-3,C5R2
42.554,-68.309,S-3_-3,C5R3
39.963,-68.309,S-3_-3,C5R4
37.372,-68.309,S-3_-3,C5R5
56.804,-65.309,S-3_-3,C6R0
51.622,-65.309,S-3_-3,C6R1
46.44,-65.309,S-3_-3,C6R2
42.554,-65.309,S-3_-3,C6R3
39.963,-65.309,S-3_-3,C6R4
37.372,-65.309,S-3_-3,C6R5
56.804,-63.309,S-3_-3,C7R0
51.622,-63.309,S-3_-3,C7R1
46.44,-63.309,S-3_-3,C7R2
42.554,-63.309,S-3_-3,C7R3
39.963,-63.309,S-3_-3,C7R4
37.372,-63.309,S-3_-3,C7R5
56.804,-61.309,S-3_-3,C8R0
51.622,-61.309,S-3_-3,C8R1
46.44,-61.309,S-3_-3,C8R2
42.554,-61.309,S-3_-3,C8R3
39.963,-61.309,S-3_-3,C8R4
37.372,-61.309,S-3_-3,C8R5
33.046,-88.309,S-3_-2,C0R0
27.864,-88.309,S-3_-2,C0R1
22.682,-88.309,S-3_-2,C0R2
18.796,-88.309,S-3_-2,C0R3
16.205,-88.309,S-3_-2,C0R4
13.614,-88.309,S-3_-2,C0R5
33.046,-84.309,S-3_-2,C1R0
27.864,-84.309,S-3_-2,C1R1
22.682,-84.309,S-3_-2,C1R2
18.796,-84.309,S-3_-2,C1R3
16.205,-84.309,S-3_-2,C1R4
13.614,-84.309,S-3_-2,C1R5
33.046,-80.309,S-3_-2,C2R0
27.864,-80.309,S-3_-2,C2R1
22.682,-80.309,S-3_-2,C2R2
18.796,-80.309,S-3_-2,C2R3
16.205,-80.309,S-3_-2,C2R4
13.614,-80.309,S-3_-2,C2R5
33.046,-76.309,S-3_-2,C3R0
27.864,-76.309,S-3_-2,C3R1
22.682,-76.309,S-3_-2,C3R2
18.796,-76.309,S-3_-2,C3R3
16.205,-76.309,S-3_-2,C3R4
13.614,-76.309,S-3_-2,C3R5
33.046,-72.309,S-3_-2,C4R0
27.864,-72.309,S-3_-2,C4R1
22.682,-72.309,S-3_-2,C4R2
18.796,-72.309,S-3_-2,C4R3
16.205,-72.309,S-3_-2,C4R4
13.614,-72.309,S-3_-2,C4R5
33.046,-68.309,S-3_-2,C5R0
27.864,-68.309,S-3_-2,C5R1
22.682,-68.309,S-3_-2,C5R2
18.796,-68.309,S-3_-2,C5R3
16.205,-68.309,S-3_-2,C5R4
13.614,-68.309,S-3_-2,C5R5
33.046,-65.309,S-3_-2,C6R0
27.864,-65.309,S-3_-2,C6R1
22.682,-65.309,S-3_-2,C6R2
18.796,-65.309,S-3_-2,C6R3
16.205,-65.309,S-3_-2,C6R4
13.614,-65.309,S-3_-2,C6R5
33.046,-63.309,S-3_-2,C7R0
27.864,-63.309,S-3_-2,C7R1
22.682,-63.309,S-3_-2,C7R2
18.796,-63.309,S-3_-2,C7R3
16.205,-63.309,S-3_-2,C7R4
13.614,-63.309,S-3_-2,C7R5
33.046,-61.309,S-3_-2,C8R0
27.864,-61.309,S-3_-2,C8R1
22.682,-61.309,S-3_-2,C8R2
18.796,-61.309,S-3_-2,C8R3
16.205,-61.309,S-3_-2,C8R4
13.614,-61.309,S-3_-2,C8R5
9.288,-88.309,S-3_-1,C0R0
4.106,-88.309,S-3_-1,C0R1
-1.076,-88.309,S-3_-1,C0R2
-4.962,-88.309,S-3_-1,C0R3
-7.553,-88.309,S-3_-1,C0R4
-10.144,-88.309,S-3_-1,C0R5
9.288,-84.309,S-3_-1,C1R0
4.106,-84.309,S-3_-1,C1R1
-1.076,-84.309,S-3_-1,C1R2
-4.962,-84.309,S-3_-1,C1R3
-7.553,-84.309,S-3_-1,C1R4
-10.144,-84.309,S-3_-1,C1R5
9.288,-80.309,S-3_-1,C2R0
4.106,-80.309,S-3_-1,C2R1
-1.076,-80.309,S-3_-1,C2R2
-4.962,-80.309,S-3_-1,C2R3
-7.553,-80.309,S-3_-1,C2R4
-10.144,-80.309,S-3_-1,C2R5
9.288,-76.309,S-3_-1,C3R0
4.106,-76.309,S-3_-1,C3R1
-1.076,-76.309,S-3_-1,C3R2
-4.962,-76.309,S-3_-1,C3R3
-7.553,-76.309,S-3_-1,C3R4
-10.144,-76.309,S-3_-1,C3R5
9.288,-72.309,S-3_-1,C4R0
4.106,-72.309,S-3_-1,C4R1
-1.076,-72.309,S-3_-1,C4R2
-4.962,-72.309,S-3_-1,C4R3
-7.553,-72.309,S-3_-1,C4R4
-10.144,-72.309,S-3_-1,C4R5
9.288,-68.309,S-3_-1,C5R0
4.106,-68.309,S-3_-1,C5R1
-1.076,-68.309,S-3_-1,C5R2
-4.962,-68.309,S-3_-1,C5R3
-7.553,-68.309,S-3_-1,C5R4
-10.144,-68.309,S-3_-1,C5R5
9.288,-65.309,S-3_-1,C6R0
4.106,-65.309,S-3_-1,C6R1
-1.076,-65.309,S-3_-1,C6R2
-4.962,-65.309,S-3_-1,C6R3
-7.553,-65.309,S-3_-1,C6R4
-10.144,-65.309,S-3_-1,C6R5
9.288,-63.309,S-3_-1,C7R0
4.106,-63.309,S-3_-1,C7R1
-1.076,-63.309,S-3_-1,C7R2
-4.962,-63.309,S-3_-1,C7R3
-7.553,-63.309,S-3_-1,C7R4
-10.144,-63.309,S-3_-1,C7R5
9.288,-61.309,S-3_-1,C8R0
4.106,-61.309,S-3_-1,C8R1
-1.076,-61.309,S-3_-1,C8R2
-4.962,-61.309,S-3_-1,C8R3
-7.553,-61.309,S-3_-1,C8R4
-10.144,-61.309,S-3_-1,C8R5
-14.47,-88.309,S-3_0,C0R0
-19.652,-88.309,S-3_0,C0R1
-24.834,-88.309,S-3_0,C0R2
-28.721,-88.309,S-3_0,C0R3
-31.311,-88.309,S-3_0,C0R4
-33.902,-88.309,S-3_0,C0R5
-14.47,-84.309,S-3_0,C1R0
